VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedTotalDoses,CombinedTotalDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
12/13/20 15:00,age20to29,,,,,,,,0,,
12/14/20 15:00,age20to29,3,34,,7,,0,,41,,7
12/14/20 15:00,age30to39,1,52,,11,,0,,63,,11
12/14/20 15:00,age40to49,2,52,,10,,0,,62,,10
12/14/20 15:00,age50to59,1,86,,22,,0,,108,,22
12/14/20 15:00,age60to69,1,61,,15,,0,,76,,15
12/14/20 15:00,age70to79,1,35,,9,,0,,44,,9
12/14/20 15:00,age80plus,1,13,,3,,0,,16,,3
12/15/20 15:00,age20to29,4,38,,7,,0,,45,,7
12/15/20 15:00,age30to39,6,58,,11,,0,,69,,11
12/15/20 15:00,age40to49,3,55,,10,,0,,65,,10
12/15/20 15:00,age50to59,11,97,1,23,,0,,120,,23
12/15/20 15:00,age60to69,2,63,,15,,0,,78,,15
12/16/20 15:00,age20to29,103,141,,7,,0,,148,,7
12/16/20 15:00,age30to39,187,245,,11,,0,,256,,11
12/16/20 15:00,age40to49,125,180,,10,,0,,190,,10
12/16/20 15:00,age50to59,72,169,,23,,0,,192,,23
12/16/20 15:00,age60to69,63,126,,15,,0,,141,,15
12/16/20 15:00,age70to79,8,43,1,10,,0,,53,,10
12/17/20 15:00,age20to29,188,329,,7,,0,,336,,7
12/17/20 15:00,age30to39,309,554,,11,,0,,565,,11
12/17/20 15:00,age40to49,243,423,,10,,0,,433,,10
12/17/20 15:00,age50to59,214,383,,23,,0,,406,,23
12/17/20 15:00,age60to69,124,250,,15,,0,,265,,15
12/17/20 15:00,age70to79,14,57,,10,,0,,67,,10
12/17/20 15:00,age80plus,1,14,,3,,0,,17,,3
12/18/20 15:00,age10to19,2,22,,0,,0,,22,,0
12/18/20 15:00,age20to29,373,702,,7,,0,,709,,7
12/18/20 15:00,age30to39,770,1324,1,12,,0,,1336,,12
12/18/20 15:00,age40to49,687,1110,,10,,0,,1120,,10
12/18/20 15:00,age50to59,620,1003,1,24,,0,,1027,,24
12/18/20 15:00,age60to69,411,661,,15,,0,,676,,15
12/18/20 15:00,age70to79,65,122,,10,,0,,132,,10
12/18/20 15:00,age80plus,6,20,,3,,0,,23,,3
12/19/20 15:00,age10to19,1,23,,0,,0,,23,,0
12/19/20 15:00,age20to29,110,812,,7,,0,,819,,7
12/19/20 15:00,age30to39,228,1552,,12,,0,,1564,,12
12/19/20 15:00,age40to49,213,1323,1,11,,0,,1334,,11
12/19/20 15:00,age50to59,193,1196,,24,,0,,1220,,24
12/19/20 15:00,age60to69,130,791,,15,,0,,806,,15
12/19/20 15:00,age70to79,16,138,,10,,0,,148,,10
12/19/20 15:00,age80plus,2,22,,3,,0,,25,,3
12/20/20 15:00,age10to19,1,24,,0,,0,,24,,0
12/20/20 15:00,age20to29,43,855,1,8,,0,,863,,8
12/20/20 15:00,age30to39,82,1634,,12,,0,,1646,,12
12/20/20 15:00,age40to49,74,1397,1,12,,0,,1409,,12
12/20/20 15:00,age50to59,53,1249,,24,,0,,1273,,24
12/20/20 15:00,age60to69,34,825,1,16,,0,,841,,16
12/20/20 15:00,age70to79,8,146,,10,,0,,156,,10
12/21/20 15:00,age10to19,6,30,,0,,0,,30,,0
12/21/20 15:00,age20to29,498,1353,3,11,,0,,1364,,11
12/21/20 15:00,age30to39,1097,2731,1,13,,0,,2744,,13
12/21/20 15:00,age40to49,891,2288,1,13,,0,,2301,,13
12/21/20 15:00,age50to59,760,2009,1,25,,0,,2034,,25
12/21/20 15:00,age60to69,467,1292,1,17,,0,,1309,,17
12/21/20 15:00,age70to79,56,202,,10,,0,,212,,10
12/21/20 15:00,age80plus,2,24,,3,,0,,27,,3
12/22/20 15:00,age10to19,28,58,,0,,0,,58,,0
12/22/20 15:00,age20to29,667,2020,,11,,0,,2031,,11
12/22/20 15:00,age30to39,1254,3985,3,16,,0,,4001,,16
12/22/20 15:00,age40to49,1202,3490,,13,,0,,3503,,13
12/22/20 15:00,age50to59,1246,3255,2,27,,0,,3282,,27
12/22/20 15:00,age60to69,902,2194,2,19,,0,,2213,,19
12/22/20 15:00,age70to79,337,539,,10,,0,,549,,10
12/22/20 15:00,age80plus,623,647,,3,,0,,650,,3
12/23/20 15:00,age10to19,8,66,,0,,0,,66,,0
12/23/20 15:00,age20to29,681,2701,,11,,0,,2712,,11
12/23/20 15:00,age30to39,1257,5242,5,21,,0,,5263,,21
12/23/20 15:00,age40to49,1199,4689,4,17,,0,,4706,,17
12/23/20 15:00,age50to59,1196,4451,4,31,,0,,4482,,31
12/23/20 15:00,age60to69,865,3059,2,21,,0,,3080,,21
12/23/20 15:00,age70to79,175,714,,10,,0,,724,,10
12/23/20 15:00,age80plus,189,836,,3,,0,,839,,3
12/24/20 15:00,age10to19,4,70,,0,,0,,70,,0
12/24/20 15:00,age20to29,353,3054,,11,,0,,3065,,11
12/24/20 15:00,age30to39,630,5872,2,23,,0,,5895,,23
12/24/20 15:00,age40to49,583,5272,1,18,,0,,5290,,18
12/24/20 15:00,age50to59,593,5044,2,33,,0,,5077,,33
12/24/20 15:00,age60to69,429,3488,,21,,0,,3509,,21
12/24/20 15:00,age70to79,68,782,,10,,0,,792,,10
12/24/20 15:00,age80plus,9,845,,3,,0,,848,,3
12/25/20 15:00,age10to19,26,96,,0,,0,,96,,0
12/25/20 15:00,age20to29,70,3124,1,12,,0,,3136,,12
